gene	healthy_bm	skin_only	bm_involvement	logFC.bm_involvement.healthy_bm	logFC.bm_involvement.skin_only	pval
TCL1A	0.627221110864373	1.61843780662513	3.11769795333598	2.49047684247161	1.49926014671085	8.14731624280584e-25
IGLL1	0.374021273530442	0.617359083049009	2.77547610181438	2.40145482828393	2.15811701876537	1.04174437754055e-26
HES6	0.221998369665797	0.27601576911714	1.99287645117421	1.77087808150842	1.71686068205707	2.90934804153236e-24
PTGDS	0.576816007795027	0.575206251171915	2.27054471771968	1.69372870992465	1.69533846654777	1.61060644010917e-08
ARPP21	0.106129039849808	0.347935634866931	1.75965618315881	1.65352714330901	1.41172054829188	2.89903486683005e-27
LAMP5	0.622359441231373	1.1767990205684	2.17066405856696	1.54830461733559	0.993865037998558	2.17704637943572e-22
SERPINB2	0.0256405041673835	0.2795970371881	1.39393354437574	1.36829304020835	1.11433650718764	1.51237331082234e-18
PDLIM1	0.158283279841801	0.365821694673181	1.49162312348918	1.33333984364738	1.125801428816	4.06798359594911e-22
NUCB2	1.88454648852502	1.94958971861111	3.17471012625941	1.29016363773439	1.2251204076483	1.34589920614547e-25
FYB1	0.985446907677315	1.27764891238052	2.2250539061822	1.23960699850488	0.947404993801676	1.56751244326427e-18
S100A4	1.7190309384971	1.7534830839647	2.95181637272641	1.23278543422931	1.19833328876171	6.36736780099793e-12
FCER1A	1.01304981825426	1.05827613527885	2.22812783408048	1.21507801582623	1.16985169880163	1.18547842082515e-15
SCN3A	0	0.18441659743642	1.20288795203208	1.20288795203208	1.01847135459566	1.38847037549148e-26
PLVAP	0.122217185076461	0.203889737274905	1.29705304738852	1.17483586231206	1.09316331011361	2.17704637943572e-22
WASF1	0.278554878086843	0.284446753385627	1.39349140645019	1.11493652836334	1.10904465306456	8.68278574039507e-19
CHCHD7	0.367211816943345	0.73874001411029	1.43819009635461	1.07097827941127	0.699450082244321	5.53157026678747e-17
VAMP5	0.226128154976314	0.679828643254221	1.28212801983125	1.05599986485494	0.602299376577029	1.52803257492277e-14
